,level_0,index,VerificationType,AppliedAmount,LanguageCode,Age,Gender,Country,LoanDuration,MonthlyPayment,UseOfLoan,Education,MaritalStatus,NrOfDependants,EmploymentStatus,EmploymentDurationCurrentEmployer,WorkExperience,OccupationArea,HomeOwnershipType,IncomeFromPrincipalEmployer,IncomeFromPension,IncomeFromFamilyAllowance,IncomeFromSocialWelfare,IncomeFromLeavePay,IncomeFromChildSupport,IncomeOther,IncomeTotal,ExistingLiabilities,LiabilitiesTotal,RefinanceLiabilities,DebtToIncome,FreeCash,NewCreditCustomer,NoOfPreviousLoansBeforeLoan,AmountOfPreviousLoansBeforeLoan,PreviousRepaymentsBeforeLoan,PreviousEarlyRepaymentsBefoleLoan,PreviousEarlyRepaymentsCountBeforeLoan,DEFAULT,FreeCashToAmountColumn,FreeCashToMonthlyPaymentColumn,NrDependantsGiven
277,277,380,IncomeExpensesVerified,7000.0,Spanish,32,Female,ES,60,254.64,Other,Business,Single,2,Self-employed,MoreThan5Years,10To15Years,Finance and insurance,Owner,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,1350.0,9,1249.32,3,49.55,276.04,0,2.0,1900.0,875.97,15500.0,2.0,1,0.03943428571428572,1.0840402136349356,0
278,278,384,IncomeExpensesVerified,2655.0,Spanish,33,Female,ES,60,101.2,Other,Travel,Single,0,Fully employed,UpTo1Year,5To10Years,Administrative,"Tenant, Pre-furnished Property",906.0,0.0,0.0,0.0,0.0,0.0,0.0,906.0,8,1185.06,3,60.29,9.74,0,1.0,3190.0,432.8,0.0,0.0,1,0.0036685499058380414,0.09624505928853755,0
279,279,385,IncomeExpensesVerified,3000.0,Estonian,25,Female,EE,60,109.93,Home improvement,EducationLoan,Cohabitant,2,Fully employed,UpTo2Years,2To5Years,Other,Joint Ownership,0.0,0.0,90.0,0.0,396.0,80.0,0.0,566.0,4,332.85,0,34.06,123.22,1,0.0,0.0,0.0,3000.0,1.0,0,0.04107333333333333,1.1208951150732283,0
280,280,386,IncomeUnverified,3190.0,Spanish,53,Male,ES,60,208.54,Health,Home improvement,Single,0,Fully employed,MoreThan5Years,15To25Years,Hospitality and catering,"Tenant, unfurnished Property",1157.0,0.0,0.0,0.0,0.0,0.0,0.0,1157.0,5,560.94,0,36.26,387.52,0,1.0,1300.0,484.55,0.0,0.0,1,0.1214796238244514,1.8582526134074997,0
281,281,388,IncomeVerified,2000.0,Finnish,65,Female,FI,36,91.71,Loan consolidation,Home improvement,Married,0,Retiree,MoreThan5Years,MoreThan25Years,Hospitality and catering,Owner,375.0,906.0,0.0,0.0,0.0,0.0,0.0,1281.0,4,1239.0,1,45.33,200.29,1,0.0,0.0,0.0,800.0,1.0,1,0.100145,2.1839494057354707,0
282,282,390,IncomeExpensesVerified,4250.0,Finnish,32,Female,FI,60,134.02,Other,Business,Cohabitant,1,Fully employed,MoreThan5Years,5To10Years,Hospitality and catering,Joint Ownership,1200.0,0.0,95.0,121.0,0.0,0.0,0.0,1416.0,7,1564.0,2,31.29,42.98,1,0.0,0.0,0.0,0.0,0.0,1,0.010112941176470587,0.32069840322339943,0
283,283,391,IncomeExpensesVerified,1700.0,Estonian,32,Male,EE,60,50.15,Other,Home improvement,Single,1,Fully employed,MoreThan5Years,5To10Years,Agriculture,Owner,821.0,0.0,0.0,0.0,0.0,0.0,0.0,821.0,9,923.0,1,56.41,107.85,0,3.0,16400.0,16587.44,48100.0,6.0,0,0.06344117647058824,2.1505483549351943,0
284,284,392,IncomeExpensesVerified,5845.0,Finnish,51,Male,FI,60,170.21,Loan consolidation,Business,Cohabitant,0,Retiree,UpTo5Years,10To15Years,Construction,"Tenant, unfurnished Property",0.0,878.0,0.0,158.0,0.0,0.0,0.0,1036.0,9,1355.0,3,40.56,115.79,1,0.0,0.0,0.0,0.0,0.0,1,0.01981009409751925,0.6802773045061983,0
285,285,394,IncomeUnverified,1000.0,Estonian,47,Female,EE,24,56.43,Other,EducationLoan,Married,0,Fully employed,MoreThan5Years,MoreThan25Years,Retail and wholesale,Joint Ownership,550.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,1,250.0,0,10.26,243.57,1,0.0,0.0,0.0,1000.0,1.0,0,0.24356999999999998,4.31632110579479,0
286,286,395,IncomeUnverified,1595.0,Spanish,30,Female,ES,60,65.69,Other,Business,Single,0,Fully employed,MoreThan5Years,10To15Years,Other,Mortgage,900.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,7,1376.0,2,45.74,138.31,0,1.0,2000.0,679.84,0.0,0.0,0,0.08671473354231975,2.1054955092099257,0
287,287,397,IncomeUnverified,5845.0,Estonian,45,Male,EE,60,156.21,Home improvement,Travel,Single,0,Fully employed,MoreThan5Years,10To15Years,Education,"Tenant, Pre-furnished Property",1185.0,0.0,0.0,0.0,0.0,0.0,0.0,1185.0,8,703.61,1,37.45,386.18,0,2.0,4000.0,950.34,0.0,0.0,0,0.06607014542343884,2.472184879329108,0
288,288,398,IncomeVerified,740.0,Finnish,49,Male,FI,60,27.6,Home improvement,Home improvement,Married,2,Partially employed,UpTo2Years,LessThan2Years,Finance and insurance,Council House,1132.0,0.0,200.0,0.0,0.0,0.0,0.0,1332.0,1,500.0,0,2.07,804.4,1,0.0,0.0,0.0,0.0,0.0,1,1.087027027027027,29.144927536231883,0
289,289,399,IncomeUnverified,10630.0,Spanish,65,Male,ES,60,435.18,Home improvement,EducationLoan,Single,0,Self-employed,UpTo2Years,MoreThan25Years,Retail and wholesale,Owner,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,7,1941.05,2,68.68,23.77,0,3.0,8220.0,8998.48,1500.0,1.0,0,0.002236124176857949,0.05462107633622869,0
290,290,402,IncomeExpensesVerified,3190.0,Finnish,66,Male,FI,60,96.42,Loan consolidation,Business,Divorced,0,Retiree,MoreThan5Years,MoreThan25Years,Info and telecom,Owner,0.0,2755.0,0.0,0.0,0.0,0.0,0.0,2755.0,18,3092.65,2,63.28,185.53,0,1.0,3000.0,530.8,0.0,0.0,1,0.05815987460815047,1.9241858535573533,0
291,291,404,IncomeUnverified,3080.0,Finnish,43,Male,FI,60,108.94,Other,Home improvement,Divorced,1,Entrepreneur,MoreThan5Years,15To25Years,Construction,"Tenant, Pre-furnished Property",1300.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,9,1495.59,3,57.5,52.47,0,1.0,1500.0,909.25,0.0,0.0,0,0.017035714285714286,0.48164127042408666,0
292,292,405,IncomeUnverified,531.0,Estonian,29,Male,EE,60,19.26,NoUseOfLoanGiven,NoEducationGiven,NoMaritalStatusGiven,0,NoEmploymentStatusGiven,,,NoOccupationAreaGiven,Owner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,3.0,6697.0,367.3,,0.0,1,0.0,0.0,1
293,293,406,IncomeUnverified,3000.0,Estonian,43,Male,EE,48,95.71,Home improvement,EducationLoan,Married,1,Fully employed,MoreThan5Years,15To25Years,ArtEntertainment,Mortgage,900.0,0.0,0.0,0.0,0.0,0.0,1000.0,1900.0,6,1190.49,0,26.64,613.8,0,1.0,3300.0,1657.14,3000.0,1.0,0,0.20459999999999998,6.413122975655626,0
294,294,407,IncomeUnverified,1063.0,Estonian,29,Male,EE,60,38.54,NoUseOfLoanGiven,NoEducationGiven,NoMaritalStatusGiven,0,NoEmploymentStatusGiven,,,NoOccupationAreaGiven,Owner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,4.0,7228.0,367.3,,0.0,1,0.0,0.0,1
295,295,408,IncomeExpensesVerified,700.0,Estonian,35,Female,EE,48,22.25,Other,Travel,Married,2,Fully employed,UpTo3Years,10To15Years,Education,Owner,570.0,0.0,90.0,69.0,0.0,0.0,0.0,729.0,5,407.99,0,16.22,298.76,0,1.0,700.0,249.95,700.0,1.0,0,0.4268,13.427415730337078,0
296,296,409,IncomeExpensesVerified,2125.0,English,43,Male,EE,60,55.15,Other,Travel,Married,2,Fully employed,UpTo3Years,15To25Years,Info and telecom,"Tenant, unfurnished Property",314.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0,1,250.0,0,17.56,8.85,1,0.0,0.0,0.0,0.0,0.0,0,0.004164705882352941,0.16047144152311876,0
297,297,410,IncomeExpensesVerified,1100.0,Estonian,23,Female,EE,60,42.18,Other,EducationLoan,Single,0,Fully employed,UpTo2Years,2To5Years,Other,Living with Parents,450.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,4,440.0,1,43.6,3.82,1,0.0,0.0,0.0,870.0,1.0,0,0.0034727272727272727,0.0905642484589853,0
298,298,411,IncomeVerified,5000.0,Finnish,31,Female,FI,60,193.34,Loan consolidation,Travel,Married,2,Fully employed,MoreThan5Years,5To10Years,Healthcare,Mortgage,1680.0,0.0,220.0,0.0,0.0,0.0,0.0,1900.0,6,1504.0,0,34.6,202.66,1,0.0,0.0,0.0,5000.0,1.0,0,0.040532,1.0482052343022654,0
299,299,414,IncomeUnverified,10630.0,Estonian,40,Female,EE,60,357.93,Loan consolidation,Travel,Cohabitant,2,Entrepreneur,MoreThan5Years,15To25Years,Hospitality and catering,Mortgage,470.0,0.0,100.0,0.0,0.0,250.0,0.0,820.0,7,1038.0,3,57.06,102.07,1,0.0,0.0,0.0,0.0,0.0,1,0.009602069614299153,0.2851674908501662,0
300,300,416,IncomeUnverified,1594.0,Estonian,30,Male,EE,60,57.79,NoUseOfLoanGiven,NoEducationGiven,NoMaritalStatusGiven,0,NoEmploymentStatusGiven,,,NoOccupationAreaGiven,Living with Parents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,8.0,8501.0,553.23,,0.0,1,0.0,0.0,1
301,301,417,IncomeVerified,1060.0,Spanish,32,Female,ES,60,55.9,Home improvement,Business,Single,0,Fully employed,UpTo1Year,10To15Years,Administrative,"Tenant, Pre-furnished Property",1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,6,1117.0,1,56.29,87.1,1,0.0,0.0,0.0,0.0,0.0,1,0.08216981132075471,1.5581395348837208,0
302,302,418,IncomeUnverified,3000.0,Estonian,39,Male,EE,60,91.69,Other,Travel,Cohabitant,1,Fully employed,UpTo3Years,15To25Years,Processing,"Tenant, unfurnished Property",1400.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,4,703.5,0,26.8,604.81,0,1.0,1600.0,488.62,0.0,0.0,0,0.20160333333333333,6.596248227723851,0
303,303,419,IncomeVerified,500.0,Estonian,24,Male,EE,60,18.33,Home improvement,EducationLoan,Single,0,Fully employed,UpTo4Years,5To10Years,Transport and warehousing,Living with Parents,944.0,0.0,0.0,0.0,0.0,0.0,0.0,944.0,3,481.0,0,19.31,444.67,1,0.0,0.0,0.0,0.0,0.0,0,0.88934,24.259138025095474,0
304,304,421,IncomeUnverified,6000.0,Estonian,34,Male,EE,60,219.53,Vehicle,Home improvement,Single,0,Fully employed,MoreThan5Years,15To25Years,Processing,Living with Parents,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,7,1008.45,2,40.5,240.02,0,1.0,3800.0,528.69,6000.0,1.0,0,0.040003333333333335,1.093335762765909,0
305,305,422,IncomeUnverified,531.0,Estonian,29,Male,EE,60,19.26,NoUseOfLoanGiven,NoEducationGiven,NoMaritalStatusGiven,0,NoEmploymentStatusGiven,,,NoOccupationAreaGiven,Owner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,5.0,8291.0,367.3,,0.0,1,0.0,0.0,1
306,306,423,IncomeExpensesVerified,3505.0,Estonian,46,Female,EE,60,91.03,Vehicle,EducationLoan,Single,2,Fully employed,UpTo2Years,2To5Years,Processing,Owner,565.0,0.0,90.0,0.0,0.0,0.0,0.0,655.0,5,622.53,1,47.87,91.44,0,1.0,3000.0,3114.53,0.0,0.0,0,0.02608844507845934,1.0045040096671427,0
307,307,424,IncomeExpensesVerified,1595.0,Estonian,68,Male,EE,60,43.31,Loan consolidation,EducationLoan,Married,0,Fully employed,UpTo4Years,2To5Years,Other,Joint Ownership,0.0,389.0,0.0,0.0,0.0,0.0,0.0,389.0,4,515.1,2,23.5,47.59,0,2.0,3200.0,4047.27,0.0,0.0,0,0.029836990595611287,1.0988224428538444,0
308,308,425,IncomeVerified,4000.0,Finnish,21,Male,FI,60,260.74,Vehicle,EducationLoan,Single,0,Fully employed,UpTo3Years,2To5Years,Construction,Living with Parents,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,3,1230.0,0,40.99,609.26,1,0.0,0.0,0.0,2090.0,1.0,0,0.152315,2.336657206412518,0
309,309,428,IncomeVerified,2000.0,Spanish,37,Female,ES,60,72.76,Travel,Business,Single,0,Fully employed,MoreThan5Years,5To10Years,Finance and insurance,Owner,978.0,900.0,0.0,0.0,0.0,0.0,0.0,1878.0,6,1287.42,0,29.67,517.82,0,1.0,4960.0,1584.54,10000.0,2.0,0,0.25891000000000003,7.116822429906542,0
310,310,429,IncomeExpensesVerified,10000.0,Estonian,37,Male,EE,60,282.5,Home improvement,Home improvement,Married,1,Self-employed,MoreThan5Years,10To15Years,Agriculture,Owner,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,4,1823.0,1,17.09,449.5,1,0.0,0.0,0.0,6550.0,1.0,0,0.04495,1.5911504424778762,0
311,311,430,IncomeUnverified,10630.0,Spanish,53,Male,ES,60,397.38,Other,Travel,Single,0,Self-employed,MoreThan5Years,15To25Years,Construction,Owner,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,9,2571.0,1,64.74,131.62,1,1.0,850.0,911.84,0.0,0.0,0,0.012381937911571026,0.33121948764406867,0
312,312,432,IncomeVerified,500.0,Estonian,40,Female,EE,60,13.73,Travel,EducationLoan,Single,0,Fully employed,UpTo4Years,2To5Years,Administrative,Owner,577.0,158.0,0.0,0.0,0.0,0.0,0.0,735.0,1,250.0,0,1.87,471.27,1,0.0,0.0,0.0,0.0,0.0,0,0.9425399999999999,34.32410779315367,0
313,313,435,IncomeExpensesVerified,3190.0,Finnish,51,Male,FI,60,97.39,Other,Business,Married,0,Retiree,MoreThan5Years,MoreThan25Years,Healthcare,Owner,0.0,1130.0,0.0,0.0,0.0,0.0,0.0,1130.0,10,1608.47,4,46.62,103.14,0,1.0,740.0,68.93,0.0,0.0,1,0.03233228840125392,1.059040969298696,0
314,314,436,IncomeExpensesVerified,3000.0,Estonian,30,Male,EE,36,121.14,Home improvement,EducationLoan,Single,0,Entrepreneur,UpTo1Year,10To15Years,Construction,Owner,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,1990.0,3,861.0,0,6.79,1007.86,1,0.0,0.0,0.0,3000.0,1.0,0,0.3359533333333333,8.319795278190524,0
315,315,437,IncomeVerified,4250.0,Spanish,52,Male,ES,60,261.36,Home improvement,Home improvement,Single,0,Fully employed,MoreThan5Years,5To10Years,Other,Living with Parents,1130.0,0.0,0.0,0.0,0.0,0.0,0.0,1130.0,1,350.0,0,23.13,518.64,1,0.0,0.0,0.0,0.0,0.0,1,0.12203294117647058,1.9843893480257115,0
316,316,438,IncomeExpensesVerified,5315.0,Russian,57,Female,EE,60,192.49,Other,Travel,Divorced,0,Fully employed,MoreThan5Years,MoreThan25Years,Education,Owner,580.0,180.0,0.0,0.0,0.0,0.0,0.0,760.0,8,768.0,2,64.28,21.51,1,0.0,0.0,0.0,0.0,0.0,0,0.004047036688617122,0.11174606473063536,0
317,317,439,IncomeUnverified,3190.0,Estonian,24,Female,EE,60,141.78,Home improvement,EducationLoan,Cohabitant,0,Fully employed,UpTo1Year,2To5Years,Processing,Joint Ownership,433.0,237.0,0.0,40.0,0.0,0.0,0.0,710.0,4,714.24,1,45.21,138.98,0,3.0,6300.0,4742.11,18000.0,8.0,0,0.043567398119122254,0.9802510932430525,0
318,318,440,IncomeExpensesVerified,3000.0,Estonian,53,Male,EE,60,146.27,Home improvement,Business,Married,0,Fully employed,UpTo5Years,MoreThan25Years,Transport and warehousing,Owner,492.0,140.0,0.0,0.0,0.0,0.0,0.0,632.0,4,682.22,2,40.43,126.51,0,1.0,3000.0,312.67,5200.0,1.0,0,0.04217,0.864907363095645,0
319,319,441,IncomeVerified,1500.0,Estonian,35,Male,EE,60,70.66,Home improvement,Home improvement,Single,0,Fully employed,MoreThan5Years,10To15Years,Processing,Living with Parents,850.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0,2,350.94,0,19.6,428.4,0,1.0,2500.0,499.8,1500.0,1.0,0,0.28559999999999997,6.062836116614775,0
320,320,442,IncomeVerified,1000.0,Estonian,65,Female,EE,60,26.75,Other,Business,Married,0,Retiree,UpTo5Years,MoreThan25Years,Other,Joint Ownership,0.0,348.0,0.0,0.0,0.0,0.0,0.0,348.0,2,321.02,0,28.09,0.23,0,1.0,700.0,549.59,0.0,0.0,0,0.00023,0.008598130841121496,0
321,321,443,IncomeVerified,5000.0,Finnish,57,Male,FI,60,152.09,Home improvement,EducationLoan,Married,0,Fully employed,MoreThan5Years,MoreThan25Years,Finance and insurance,Owner,3685.0,0.0,0.0,0.0,0.0,0.0,0.0,3685.0,3,2244.71,0,8.46,1288.2,0,1.0,4100.0,919.72,10000.0,2.0,0,0.25764000000000004,8.46998487737524,0
322,322,444,IncomeExpensesVerified,5315.0,Estonian,30,Female,EE,60,203.29,Other,Home improvement,Cohabitant,1,Fully employed,UpTo4Years,2To5Years,Other,"Tenant, Pre-furnished Property",500.0,241.0,50.0,30.0,0.0,0.0,0.0,821.0,16,1731.06,7,68.13,11.65,0,3.0,5300.0,1708.99,4200.0,2.0,1,0.0021919096895578554,0.05730729499729451,0
323,323,446,IncomeVerified,3000.0,Estonian,42,Male,EE,36,146.57,Home improvement,EducationLoan,Married,1,Entrepreneur,UpTo2Years,15To25Years,Other,Owner with Encumbrance,660.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,2,500.0,0,22.21,13.43,1,0.0,0.0,0.0,3000.0,1.0,0,0.004476666666666667,0.09162857337790817,0
324,324,447,IncomeExpensesVerified,3500.0,Estonian,45,Male,EE,60,137.14,Home improvement,EducationLoan,Cohabitant,0,Fully employed,MoreThan5Years,MoreThan25Years,Healthcare,Living with Parents,850.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0,4,678.71,1,47.16,194.15,0,1.0,4900.0,1373.52,3500.0,1.0,0,0.055471428571428574,1.415706577220359,0
325,325,448,IncomeExpensesVerified,1910.0,Estonian,61,Female,EE,60,63.69,Home improvement,Home improvement,Single,0,Retiree,MoreThan5Years,MoreThan25Years,Other,Owner,0.0,359.0,0.0,53.0,0.0,0.0,0.0,412.0,5,475.0,2,36.09,13.31,1,0.0,0.0,0.0,0.0,0.0,0,0.0069685863874345555,0.20898100172711573,0
326,326,449,IncomeUnverified,3190.0,Estonian,22,Male,EE,60,121.11,Loan consolidation,Home improvement,Single,0,Fully employed,UpTo4Years,2To5Years,Construction,Joint Ownership,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,3,1348.72,0,28.79,1030.17,0,1.0,3000.0,2601.57,2765.0,1.0,0,0.32293730407523513,8.506068863017093,0
327,327,450,IncomeExpensesVerified,500.0,Estonian,30,Male,EE,18,37.81,Other,EducationLoan,Single,0,Fully employed,UpTo4Years,10To15Years,Retail and wholesale,Owner,737.0,0.0,0.0,0.0,0.0,0.0,0.0,737.0,4,604.51,1,39.66,194.68,0,1.0,4200.0,856.17,500.0,1.0,0,0.38936000000000004,5.148902406770696,0
328,328,452,IncomeExpensesVerified,1485.0,Spanish,29,Female,ES,60,75.47,Home improvement,EducationLoan,Married,1,Fully employed,UpTo5Years,5To10Years,Processing,"Tenant, Pre-furnished Property",700.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,7,1193.0,4,31.21,131.53,1,0.0,0.0,0.0,0.0,0.0,1,0.08857239057239057,1.7428117132635486,0
329,329,453,IncomeUnverified,500.0,Estonian,36,Female,EE,18,38.12,Loan consolidation,Travel,Single,0,Fully employed,MoreThan5Years,15To25Years,CivilService,Joint Tenant,930.0,0.0,0.0,0.0,0.0,0.0,0.0,930.0,7,1061.61,1,59.22,100.27,1,0.0,0.0,0.0,0.0,1.0,0,0.20054,2.630377754459601,0
330,330,455,IncomeExpensesVerified,4250.0,Estonian,33,Female,EE,60,122.9,Other,EducationLoan,Married,2,Fully employed,UpTo2Years,2To5Years,Healthcare,Owner,0.0,0.0,50.0,0.0,422.0,0.0,0.0,472.0,2,301.0,1,26.04,99.1,1,0.0,0.0,0.0,0.0,0.0,0,0.02331764705882353,0.8063466232709519,0
331,331,458,IncomeExpensesVerified,2500.0,Estonian,45,Female,EE,60,74.08,Other,EducationLoan,Married,0,Fully employed,UpTo1Year,15To25Years,Other,Joint Tenant,331.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,3,392.0,2,22.38,6.92,1,0.0,0.0,0.0,4000.0,1.0,0,0.002768,0.09341252699784017,0
332,332,459,IncomeExpensesVerified,5315.0,Estonian,25,Female,EE,60,213.27,Loan consolidation,EducationLoan,Single,0,Fully employed,UpTo5Years,2To5Years,Retail and wholesale,Joint Ownership,550.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,6,596.0,2,49.87,25.73,1,0.0,0.0,0.0,0.0,0.0,0,0.0048410159924741295,0.1206451915412388,0
333,333,460,IncomeVerified,1000.0,Estonian,43,Female,EE,60,29.64,Home improvement,EducationLoan,Married,1,Fully employed,UpTo2Years,MoreThan25Years,Transport and warehousing,Joint Ownership,647.0,0.0,0.0,0.0,0.0,0.0,0.0,647.0,2,395.02,0,27.0,222.34,0,3.0,4611.3089,3394.431,1000.0,1.0,1,0.22234,7.501349527665317,0
334,334,463,IncomeUnverified,1060.0,Estonian,48,Male,EE,60,33.06,Business,EducationLoan,Married,1,Entrepreneur,UpTo3Years,MoreThan25Years,Info and telecom,Owner,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,4,1063.0,0,7.0,703.94,1,0.0,0.0,0.0,0.0,0.0,0,0.6640943396226415,21.292800967937083,0
335,335,465,IncomeExpensesVerified,1590.0,Estonian,27,Male,EE,60,69.11,Other,Home improvement,Single,0,Fully employed,MoreThan5Years,5To10Years,Construction,Living with Parents,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,4,1213.0,0,45.42,417.89,1,0.0,0.0,0.0,0.0,0.0,0,0.26282389937106915,6.046737085805238,0
336,336,468,IncomeExpensesVerified,10630.0,Finnish,58,Male,FI,60,310.5,Loan consolidation,Home improvement,Single,0,Fully employed,MoreThan5Years,MoreThan25Years,Hospitality and catering,"Tenant, Pre-furnished Property",1505.0,0.0,0.0,0.0,0.0,0.0,0.0,1505.0,5,1380.0,1,55.18,174.5,1,0.0,0.0,0.0,0.0,0.0,1,0.01641580432737535,0.5619967793880838,0
337,337,471,IncomeExpensesVerified,3000.0,Estonian,45,Female,EE,60,138.67,Other,Travel,Divorced,3,Fully employed,UpTo2Years,15To25Years,Construction,Living with Parents,647.0,0.0,190.0,0.0,0.0,585.0,0.0,1422.0,9,1793.33,2,32.84,240.0,0,5.0,2494.7621,2705.2263,3000.0,1.0,0,0.08,1.730727626739742,0
338,338,472,IncomeExpensesVerified,2300.0,Estonian,27,Female,EE,60,64.58,Loan consolidation,Travel,Cohabitant,0,Fully employed,MoreThan5Years,5To10Years,Info and telecom,Owner,867.0,0.0,0.0,0.0,0.0,0.0,0.0,867.0,7,780.73,0,67.51,21.69,0,1.0,2000.0,1347.05,2300.0,1.0,0,0.009430434782608696,0.3358624961288325,0
339,339,473,IncomeExpensesVerified,2550.0,Estonian,47,Male,EE,60,66.41,Loan consolidation,EducationLoan,Divorced,2,Fully employed,UpTo3Years,15To25Years,Retail and wholesale,Mortgage,1064.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.0,9,1161.09,1,33.22,226.5,0,2.0,3900.0,4126.71,0.0,0.0,0,0.0888235294117647,3.4106309290769463,0
340,340,474,IncomeExpensesVerified,2335.0,Spanish,29,Female,ES,60,152.65,Loan consolidation,EducationLoan,Single,0,Fully employed,UpTo3Years,5To10Years,Other,Joint Ownership,725.0,0.0,0.0,0.0,0.0,0.0,0.0,725.0,3,1146.0,2,21.06,222.35,1,0.0,0.0,0.0,0.0,0.0,1,0.09522483940042827,1.456600065509335,0
341,341,475,IncomeExpensesVerified,7335.0,Estonian,30,Male,EE,60,297.99,Vehicle,EducationLoan,Single,0,Fully employed,UpTo1Year,10To15Years,Agriculture,"Tenant, Pre-furnished Property",700.0,0.0,0.0,0.0,0.0,0.0,200.0,900.0,2,686.0,1,33.11,332.01,1,0.0,0.0,0.0,0.0,0.0,0,0.045263803680981596,1.1141649048625792,0
342,342,476,IncomeVerified,800.0,Spanish,22,Male,ES,60,65.19,Home improvement,Business,Single,0,Fully employed,UpTo3Years,2To5Years,Hospitality and catering,Owner,1130.0,0.0,0.0,0.0,0.0,0.0,0.0,1130.0,1,350.0,0,5.77,714.81,1,0.0,0.0,0.0,1300.0,2.0,1,0.8935124999999999,10.965025310630464,0
343,343,477,IncomeExpensesVerified,4250.0,Finnish,35,Female,FI,60,158.87,Loan consolidation,Business,Married,3,Fully employed,UpTo4Years,5To10Years,Healthcare,Council House,1800.0,0.0,360.0,0.0,0.0,280.0,0.0,2440.0,17,2599.0,2,65.4,112.13,1,0.0,0.0,0.0,0.0,0.0,1,0.026383529411764705,0.7057971926732548,0
344,344,478,IncomeUnverified,6375.0,Spanish,38,Female,ES,60,416.76,Home improvement,Travel,Divorced,2,Partially employed,UpTo1Year,15To25Years,Energy,Owner,1300.0,0.0,0.0,0.0,0.0,0.0,375.0,1675.0,1,502.0,0,24.88,756.24,1,0.0,0.0,0.0,0.0,0.0,1,0.11862588235294118,1.8145695364238412,0
345,345,479,IncomeExpensesVerified,1000.0,Estonian,25,Female,EE,60,29.42,Travel,Travel,Divorced,1,Fully employed,UpTo3Years,5To10Years,Construction,Mortgage,615.0,0.0,45.0,0.0,0.0,0.0,0.0,660.0,5,656.0,2,17.49,8.58,0,1.0,1000.0,1071.85,0.0,0.0,0,0.00858,0.29163834126444593,0
346,346,481,IncomeExpensesVerified,1000.0,Estonian,25,Male,EE,18,76.26,Other,Home improvement,Cohabitant,0,Fully employed,UpTo1Year,5To10Years,Other,Joint Tenant,570.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,5,680.0,2,55.48,3.74,1,0.0,0.0,0.0,1000.0,1.0,0,0.0037400000000000003,0.04904274849200105,0
347,347,482,IncomeVerified,635.0,Estonian,63,Female,EE,60,18.66,Loan consolidation,Travel,Divorced,0,Retiree,MoreThan5Years,MoreThan25Years,Hospitality and catering,Owner,0.0,407.0,0.0,0.0,0.0,0.0,300.0,707.0,9,965.0,1,57.52,50.34,1,0.0,0.0,0.0,0.0,0.0,0,0.07927559055118111,2.6977491961414795,0
348,348,483,IncomeVerified,3190.0,Estonian,55,Female,EE,60,94.13,EducationLoan,EducationLoan,Married,1,Fully employed,UpTo5Years,MoreThan25Years,Education,Owner,523.0,0.0,50.0,0.0,0.0,0.0,0.0,573.0,4,481.19,1,36.88,111.68,0,2.0,3800.0,918.8,0.0,0.0,0,0.035009404388714735,1.1864442791883567,0
349,349,484,IncomeExpensesVerified,7970.0,Estonian,43,Female,EE,60,256.18,Home improvement,EducationLoan,Divorced,1,Fully employed,MoreThan5Years,10To15Years,Finance and insurance,Mortgage,1301.0,0.0,45.0,0.0,0.0,190.0,0.0,1536.0,16,1898.49,6,51.85,29.61,0,2.0,3600.0,3440.63,0.0,0.0,0,0.003715181932245922,0.11558279334842689,0
